title,artist,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Robbery,Juice WRLD,2019,80.0,69.0,62.0,-5.0,15.0,57.0,240.0,33.0,5.0,84.0
Young Dumb & Broke,Khalid,2017,137.0,54.0,80.0,-6.0,17.0,39.0,203.0,20.0,4.0,84.0
Primadonna,MARINA,2012,128.0,69.0,66.0,-3.0,9.0,43.0,221.0,9.0,3.0,84.0
changes,XXXTENTACION,2018,65.0,31.0,67.0,-10.0,10.0,52.0,122.0,88.0,3.0,84.0
Don't Start Now,Dua Lipa,2019,124.0,79.0,79.0,-5.0,10.0,68.0,183.0,1.0,8.0,84.0
The Middle,Zedd,2018,107.0,66.0,75.0,-3.0,11.0,44.0,185.0,17.0,4.0,84.0
Sucker,Jonas Brothers,2019,138.0,73.0,84.0,-5.0,11.0,95.0,181.0,4.0,6.0,84.0
Needed Me,Rihanna,2016,111.0,31.0,67.0,-8.0,8.0,30.0,192.0,11.0,24.0,84.0
Don't Start Now,Dua Lipa,2021,123.95,79.3,79.3,-4.521,9.51,67.9,183.29,1.23,8.3,84.0
3 Nights,Dominic Fike,2018,152.0,52.0,82.0,-7.0,10.0,88.0,178.0,22.0,9.0,84.0
Whatever It Takes,Imagine Dragons,2017,135.0,66.0,67.0,-5.0,12.0,56.0,201.0,4.0,3.0,84.0
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2019,90.0,52.0,76.0,-4.0,7.0,93.0,158.0,53.0,6.0,84.0
Mask Off,Future,2017,150.0,43.0,83.0,-9.0,17.0,28.0,205.0,1.0,43.0,84.0
Better Now,Post Malone,2018,145.0,58.0,68.0,-6.0,14.0,34.0,231.0,33.0,4.0,84.0
Pink + White,Frank Ocean,2016,160.0,55.0,54.0,-7.0,42.0,55.0,185.0,67.0,10.0,84.0
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2018,114.0,79.0,60.0,-6.0,39.0,24.0,217.0,1.0,7.0,84.0
Drag Me Down,One Direction,2015,138.0,70.0,73.0,-6.0,7.0,60.0,192.0,11.0,4.0,84.0
On The Floor,Jennifer Lopez,2011,130.0,78.0,73.0,-5.0,7.0,57.0,285.0,11.0,5.0,84.0
Yes Indeed,Lil Baby,2018,120.0,35.0,96.0,-9.0,11.0,56.0,142.0,4.0,53.0,84.0
Tongue Tied,Grouplove,2011,113.0,94.0,56.0,-6.0,16.0,37.0,218.0,1.0,4.0,84.0
Centuries,Fall Out Boy,2015,176.0,86.0,39.0,-3.0,10.0,56.0,228.0,0.0,7.0,84.0
Fireflies,Owl City,2009,180.0,66.0,51.0,-7.0,12.0,47.0,228.0,3.0,4.0,84.0
Rolling in the Deep,Adele,2011,105.0,77.0,73.0,-5.0,5.0,51.0,228.0,14.0,3.0,84.0
Breaking Me,Topic,2019,122.0,72.0,79.0,-6.0,13.0,66.0,167.0,22.0,22.0,84.0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,120.0,86.0,66.0,-3.0,8.0,65.0,221.0,3.0,11.0,84.0
everything i wanted,Billie Eilish,2019,120.0,23.0,70.0,-14.0,11.0,24.0,245.0,90.0,10.0,84.0
Don't Start Now,Dua Lipa,2020,124.0,79.0,79.0,-5.0,10.0,68.0,183.0,1.0,8.0,84.0
Silence,Marshmello,2017,142.0,76.0,52.0,-3.0,17.0,29.0,181.0,26.0,9.0,84.0
Say So,Doja Cat,2019,111.0,67.0,79.0,-5.0,9.0,78.0,238.0,26.0,16.0,84.0
Steal My Girl,One Direction,2014,77.0,77.0,54.0,-6.0,11.0,55.0,228.0,0.0,3.0,84.0
Dancing On My Own,Calum Scott,2018,113.0,17.0,68.0,-9.0,10.0,23.0,260.0,84.0,3.0,84.0
This Is What You Came For (feat. Rihanna),Calvin Harris,2016,124.0,93.0,63.0,-3.0,15.0,47.0,222.0,20.0,3.0,84.0
Sure Thing,Miguel,2010,81.0,61.0,68.0,-8.0,19.0,50.0,195.0,3.0,10.0,84.0
Cake By The Ocean,DNCE,2016,119.0,75.0,77.0,-5.0,4.0,90.0,219.0,15.0,5.0,84.0
Falling,Trevor Daniel,2020,127.0,43.0,79.0,-9.0,9.0,24.0,159.0,12.0,4.0,84.0
Better Now,Post Malone,2018,145.0,58.0,68.0,-6.0,14.0,34.0,231.0,33.0,4.0,84.0
Let You Down,NF,2017,148.0,71.0,66.0,-6.0,18.0,46.0,212.0,31.0,12.0,84.0
Collard Greens,ScHoolboy Q,2014,154.0,57.0,83.0,-5.0,21.0,65.0,300.0,3.0,6.0,84.0
Waiting For Love,Avicii,2015,128.0,74.0,58.0,-4.0,20.0,61.0,231.0,31.0,5.0,84.0
Old Town Road - Remix,Lil Nas X,2019,136.0,62.0,88.0,-6.0,11.0,64.0,157.0,5.0,10.0,83.0
Ransom,Lil Tecca,2019,180.0,64.0,75.0,-6.0,7.0,23.0,131.0,2.0,29.0,83.0
In My Mind,Dynoro,2018,126.0,77.0,69.0,-5.0,12.0,16.0,185.0,18.0,15.0,83.0
More Than You Know,Axwell /\ Ingrosso,2017,123.0,74.0,65.0,-5.0,31.0,57.0,203.0,3.0,3.0,83.0
Me And My Broken Heart,Rixton,2014,174.0,78.0,55.0,-4.0,13.0,55.0,194.0,0.0,3.0,83.0
Die Young,Kesha,2012,128.0,70.0,71.0,-5.0,22.0,80.0,212.0,0.0,5.0,83.0
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,190.0,61.0,26.0,-7.0,13.0,28.0,253.0,25.0,5.0,83.0
